campaign_id,customer_id,acquisition_channel,campaign_name,campaign_cost,conversion_status
1,40836,Google Ads,Face-to-face bottom-line algorithm,157.03,Not Converted
2,23204,Referral,Business-focused stable Internet solution,1824.38,Converted
3,12141,LinkedIn Ads,Reverse-engineered interactive definition,2455.58,Not Converted
4,48704,Instagram Ads,Future-proofed maximized projection,283.49,Not Converted
5,26972,YouTube Ads,Profit-focused intangible standardization,1042.62,Not Converted
6,16475,Referral,Polarized multi-tasking access,4530.04,Converted
7,37139,Google Ads,Versatile transitional model,190.77,Converted
8,18681,Google Ads,Streamlined didactic support,2050.9,Not Converted
9,4146,Organic Search,Customer-focused bottom-line solution,2275.58,Converted
10,13667,Instagram Ads,Multi-layered heuristic info-mediaries,3001.2,Converted
11,21084,YouTube Ads,Team-oriented heuristic circuit,1383.92,Converted
12,19984,Instagram Ads,Fully-configurable logistical success,2314.19,Not Converted
13,32939,Referral,Seamless uniform projection,2702.4,Converted
14,17319,Referral,Virtual grid-enabled matrices,2888.81,Converted
15,14039,Referral,Cross-platform multi-tasking policy,528.51,Converted
16,12507,YouTube Ads,Self-enabling asynchronous application,847.19,Converted
17,9136,Google Ads,Persevering value-added hub,97.87,Converted
18,4379,YouTube Ads,User-centric systemic info-mediaries,541.48,Converted
19,16582,Instagram Ads,Cloned stable ability,1777.26,Not Converted
20,31744,LinkedIn Ads,Open-source 24hour open architecture,3947.19,Converted
21,39400,YouTube Ads,Mandatory non-volatile firmware,724.71,Not Converted
22,44333,Referral,Function-based bi-directional architecture,1587.47,Converted
23,41651,YouTube Ads,Sharable methodical budgetary management,3366.07,Converted
24,33311,Instagram Ads,Assimilated multi-tasking paradigm,339.77,Not Converted
25,11604,LinkedIn Ads,Virtual upward-trending circuit,581.78,Not Converted
26,43076,Organic Search,Assimilated coherent software,4459.79,Not Converted
27,3035,Google Ads,Profound systematic core,4078.54,Not Converted
28,3664,Organic Search,Programmable tangible monitoring,1644.0,Converted
29,37476,Referral,Object-based uniform customer loyalty,2154.4,Not Converted
30,36834,YouTube Ads,Digitized composite contingency,2165.95,Converted
31,5994,Instagram Ads,Distributed bi-directional collaboration,1498.46,Not Converted
32,46322,Google Ads,Cross-group even-keeled knowledgebase,2501.52,Converted
33,46875,Organic Search,Intuitive global success,129.12,Not Converted
34,35889,LinkedIn Ads,Ameliorated composite implementation,225.23,Converted
35,49316,LinkedIn Ads,Decentralized explicit challenge,4810.96,Converted
36,31988,YouTube Ads,Exclusive regional support,2119.83,Converted
37,32029,LinkedIn Ads,Automated 4thgeneration definition,4197.11,Not Converted
38,4345,Referral,Down-sized non-volatile contingency,3435.89,Not Converted
39,10555,Google Ads,Ergonomic intermediate challenge,3820.6,Converted
40,18477,LinkedIn Ads,Vision-oriented asynchronous open architecture,2580.28,Converted
41,30502,Referral,Profit-focused radical Graphical User Interface,1449.85,Converted
42,18765,Google Ads,Cloned optimizing hub,4094.97,Converted
43,22726,Referral,Persevering national process improvement,3382.87,Converted
44,45373,Referral,Monitored human-resource open system,4659.9,Converted
45,25922,Google Ads,Versatile systemic toolset,2904.44,Converted
46,9276,Referral,Multi-channeled modular access,2771.78,Not Converted
47,32684,YouTube Ads,Total object-oriented policy,397.61,Converted
48,26325,Google Ads,Enterprise-wide high-level groupware,2416.81,Not Converted
49,34750,Google Ads,Synchronized static focus group,3355.46,Not Converted
50,36304,Referral,Grass-roots high-level interface,2408.46,Not Converted
51,33981,Instagram Ads,Programmable intangible projection,1977.73,Not Converted
52,42789,LinkedIn Ads,Versatile clear-thinking implementation,4055.9,Not Converted
53,4982,Referral,Optional empowering data-warehouse,3253.96,Converted
54,37239,LinkedIn Ads,Virtual non-volatile matrix,3826.73,Converted
55,9508,Organic Search,Seamless zero-defect migration,4025.84,Not Converted
56,10071,Instagram Ads,Ameliorated client-server core,1564.82,Converted
57,159,LinkedIn Ads,Reactive explicit knowledgebase,682.48,Converted
58,8633,YouTube Ads,Mandatory solution-oriented implementation,430.35,Not Converted
59,44288,LinkedIn Ads,Re-engineered disintermediate access,1632.82,Converted
60,21454,Instagram Ads,Up-sized client-driven neural-net,3745.88,Not Converted
61,1900,LinkedIn Ads,Configurable next generation infrastructure,1460.09,Not Converted
62,10546,LinkedIn Ads,Triple-buffered explicit encryption,2746.65,Converted
63,1904,Organic Search,Triple-buffered global emulation,829.07,Not Converted
64,36602,Organic Search,Quality-focused asynchronous orchestration,2241.77,Converted
65,12852,Instagram Ads,Ameliorated holistic frame,2006.18,Not Converted
66,39685,Referral,Distributed user-facing extranet,2634.09,Not Converted
67,16278,Referral,Mandatory client-server matrices,1639.67,Not Converted
68,46208,Instagram Ads,Implemented incremental firmware,2002.39,Converted
69,3204,LinkedIn Ads,Optimized empowering forecast,2559.08,Converted
70,25833,LinkedIn Ads,Switchable background complexity,263.11,Converted
71,47662,LinkedIn Ads,Mandatory clear-thinking archive,838.38,Not Converted
72,9930,LinkedIn Ads,Down-sized analyzing secured line,2649.8,Converted
73,25789,Organic Search,Synergized heuristic focus group,100.83,Converted
74,9367,Instagram Ads,Re-contextualized cohesive functionalities,1926.08,Not Converted
75,22165,YouTube Ads,User-friendly heuristic framework,1130.25,Converted
76,26034,Google Ads,Diverse mobile pricing structure,1209.62,Converted
77,24138,YouTube Ads,Managed actuating hardware,4796.21,Converted
78,20436,LinkedIn Ads,Profound fault-tolerant secured line,1243.93,Not Converted
79,38744,Organic Search,Extended explicit neural-net,1610.56,Converted
80,24262,Referral,Persevering leadingedge initiative,3685.66,Not Converted
81,46389,Instagram Ads,Persevering national groupware,3948.89,Not Converted
82,46560,YouTube Ads,Digitized systematic functionalities,3474.02,Converted
83,44942,LinkedIn Ads,Robust reciprocal portal,3633.57,Not Converted
84,47264,Referral,Self-enabling user-facing frame,4844.5,Converted
85,16240,Organic Search,Compatible well-modulated solution,1217.61,Converted
86,42435,Google Ads,Stand-alone context-sensitive neural-net,2095.5,Not Converted
87,8953,LinkedIn Ads,Mandatory 3rdgeneration leverage,4031.7,Converted
88,21618,YouTube Ads,Innovative object-oriented function,3244.24,Converted
89,19905,Google Ads,Visionary mobile challenge,4701.52,Converted
90,49106,Organic Search,Self-enabling client-server frame,3338.03,Converted
91,5514,YouTube Ads,Function-based intangible benchmark,2517.69,Converted
92,8067,Google Ads,Streamlined context-sensitive strategy,1680.05,Converted
93,5737,Organic Search,Networked attitude-oriented analyzer,2035.74,Not Converted
94,26150,Referral,Digitized tertiary emulation,2559.38,Converted
95,6123,Referral,Cross-platform hybrid complexity,946.12,Converted
96,24613,Instagram Ads,Business-focused contextually-based concept,1545.34,Converted
97,14289,Organic Search,User-friendly explicit Graphic Interface,1680.58,Converted
98,19055,Google Ads,Re-contextualized fault-tolerant open system,3954.61,Converted
99,18754,LinkedIn Ads,Reduced uniform application,2570.62,Converted
100,19676,Organic Search,Persistent dynamic superstructure,2393.31,Not Converted
101,43960,Google Ads,Open-source context-sensitive application,123.63,Converted
102,45286,Google Ads,Open-architected 3rdgeneration functionalities,1649.37,Converted
103,21898,Organic Search,Re-contextualized eco-centric open system,2315.55,Converted
104,36730,YouTube Ads,Grass-roots attitude-oriented website,4913.85,Converted
105,29520,Referral,Visionary non-volatile protocol,2903.08,Not Converted
106,37985,Organic Search,Function-based client-server core,398.42,Converted
107,23236,Instagram Ads,Quality-focused homogeneous moderator,653.85,Converted
108,33442,Instagram Ads,Versatile modular emulation,517.88,Not Converted
109,21386,LinkedIn Ads,Function-based zero administration superstructure,2808.67,Not Converted
110,15305,YouTube Ads,Focused bi-directional contingency,3904.8,Converted
